id,tag_name,created_at
1,sunset,"2023-07-03 20:13:47"
2,photography,"2023-07-03 20:13:47"
3,sunrise,"2023-07-03 20:13:47"
4,landscape,"2023-07-03 20:13:47"
5,food,"2023-07-03 20:13:47"
6,foodie,"2023-07-03 20:13:47"
7,delicious,"2023-07-03 20:13:47"
8,beauty,"2023-07-03 20:13:47"
9,stunning,"2023-07-03 20:13:47"
10,dreamy,"2023-07-03 20:13:47"
11,lol,"2023-07-03 20:13:47"
12,happy,"2023-07-03 20:13:47"
13,fun,"2023-07-03 20:13:47"
14,style,"2023-07-03 20:13:47"
15,hair,"2023-07-03 20:13:47"
16,fashion,"2023-07-03 20:13:47"
17,party,"2023-07-03 20:13:47"
18,concert,"2023-07-03 20:13:47"
19,drunk,"2023-07-03 20:13:47"
20,beach,"2023-07-03 20:13:47"
21,smile,"2023-07-03 20:13:47"
